,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
120,120,610,12,378,228,772,2,390,2962,2,5000
121,121,606,14,380,220,780,4,394,3036,1,5000
122,122,603,15,382,216,784,3,397,3068,3,5000
123,123,598,18,384,242,758,5,402,2896,2,5000
124,124,595,20,385,214,786,3,405,3094,4,5000
125,125,594,18,388,194,806,1,406,3254,3,5000
126,126,594,16,390,240,760,0,406,2880,5,5000
127,127,594,12,394,443,557,0,406,1542,3,5000
128,128,594,9,397,240,760,0,406,2868,1,5000
129,129,594,4,402,220,780,0,406,3050,0,5000
130,130,594,1,405,7,993,0,406,4924,0,5000
131,131,592,2,406,3,997,2,408,4962,0,5000
132,132,591,3,406,3,997,1,409,4968,0,5000
133,133,589,5,406,3,997,2,411,4972,0,5000
134,134,586,8,406,5,995,3,414,4954,2,5000
135,135,586,8,406,214,786,0,414,3088,1,5000
136,136,586,8,406,211,789,0,414,3120,2,5000
137,137,586,6,408,218,782,0,414,3054,3,5000
138,138,586,5,409,238,762,0,414,2902,0,5000
139,139,586,3,411,8,992,0,414,4914,0,5000
140,140,584,2,414,5,995,2,416,4942,0,5000
141,141,583,3,414,5,995,1,417,4944,0,5000
142,142,580,6,414,4,996,3,420,4966,0,5000
143,143,575,11,414,4,996,5,425,4966,2,5000
144,144,571,15,414,214,786,4,429,3094,1,5000
145,145,567,19,414,207,793,4,433,3150,3,5000
146,146,562,22,416,228,772,5,438,2992,5,5000
147,147,559,24,417,430,570,3,441,1614,4,5000
148,148,555,25,420,195,805,4,445,3240,4,5000
149,149,555,20,425,206,794,0,445,3148,5,5000
150,150,553,18,429,435,565,2,447,1602,3,5000
151,151,553,14,433,238,762,0,447,2902,4,5000
152,152,552,10,438,194,806,1,448,3248,0,5000
153,153,551,8,441,11,989,1,449,4886,2,5000
154,154,550,5,445,199,801,1,450,3210,0,5000
155,155,550,5,445,5,995,0,450,4948,1,5000
156,156,550,3,447,215,785,0,450,3078,1,5000
157,157,550,3,447,216,784,0,450,3078,1,5000
158,158,550,2,448,209,791,0,450,3118,0,5000
159,159,550,1,449,5,995,0,450,4956,0,5000
160,160,549,1,450,4,996,1,451,4960,0,5000
161,161,549,1,450,4,996,0,451,4956,0,5000
162,162,547,3,450,4,996,2,453,4960,0,5000
163,163,544,6,450,3,997,3,456,4968,1,5000
164,164,541,9,450,208,792,3,459,3136,0,5000
165,165,535,15,450,5,995,6,465,4948,2,5000
166,166,529,20,451,217,783,6,471,3068,3,5000
167,167,525,24,451,234,766,4,475,2936,3,5000
168,168,519,28,453,234,766,6,481,2936,6,5000
169,169,517,27,456,252,748,2,483,2784,6,5000
170,170,517,24,459,264,736,0,483,2682,4,5000
171,171,517,18,465,201,799,0,483,3190,6,5000
172,172,517,12,471,261,739,0,483,2730,2,5000
173,173,517,8,475,213,787,0,483,3100,0,5000
174,174,516,3,481,6,994,1,484,4938,0,5000
175,175,515,2,483,3,997,1,485,4974,0,5000
176,176,514,3,483,4,996,1,486,4962,0,5000
177,177,512,5,483,1,999,2,488,4990,1,5000
178,178,512,5,483,214,786,0,488,3082,1,5000
179,179,511,6,483,210,790,1,489,3118,1,5000
180,180,510,6,484,206,794,1,490,3138,2,5000
181,181,510,5,485,211,789,0,490,3114,0,5000
182,182,508,6,486,7,993,2,492,4928,1,5000
183,183,507,5,488,217,783,1,493,3070,1,5000
184,184,506,6,488,210,790,1,494,3126,0,5000
185,185,505,6,489,6,994,1,495,4946,2,5000
186,186,503,7,490,212,788,2,497,3106,1,5000
187,187,501,9,490,214,786,2,499,3080,1,5000
188,188,500,8,492,221,779,1,500,3024,1,5000
189,189,499,8,493,228,772,1,501,2988,2,5000
190,190,498,8,494,217,783,1,502,3064,2,5000
191,191,497,8,495,219,781,1,503,3048,1,5000
192,192,497,6,497,213,787,0,503,3100,1,5000
193,193,497,4,499,214,786,0,503,3080,1,5000
194,194,497,3,500,204,796,0,503,3168,1,5000
195,195,497,2,501,212,788,0,503,3104,0,5000
196,196,497,1,502,6,994,0,503,4936,0,5000
197,197,497,0,503,4,996,0,503,4964,0,5000
