Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
997,3,0,4,996,0
993,7,0,4,996,0
983,17,0,2,998,2
967,33,0,204,796,1
952,48,0,193,807,4
934,64,2,205,795,10
908,89,3,158,842,16
901,92,7,542,458,15
897,86,17,618,382,18
893,74,33,470,530,26
891,61,48,716,284,7
889,45,66,259,741,4
883,25,92,224,776,4
878,23,99,202,798,2
873,24,103,217,783,2
864,29,107,203,797,6
855,36,109,242,758,5
847,42,111,432,568,5
842,41,117,430,570,9
836,42,122,291,709,9
832,41,127,294,706,8
829,35,136,295,705,5
827,28,145,435,565,6
823,24,153,259,741,4
817,25,158,193,807,3
809,27,164,226,774,2
798,34,168,214,786,4
785,44,171,199,801,6
773,54,173,262,738,8
767,56,177,309,691,11
763,54,183,339,661,13
761,48,191,536,464,12
757,41,202,445,555,6
755,30,215,275,725,4
749,24,227,212,788,2
745,22,233,214,786,4
743,20,237,195,805,2
737,24,239,223,777,6
729,28,243,251,749,4
721,34,245,196,804,2
712,37,251,214,786,6
701,44,255,262,738,8
693,50,257,294,706,8
685,52,263,307,693,9
679,50,271,295,705,11
670,51,279,329,671,8
665,47,288,303,697,8
657,44,299,305,695,6
650,43,307,262,738,9
649,36,315,290,710,5
647,32,321,424,576,8
646,24,330,307,693,7
644,21,335,223,777,1
637,20,343,198,802,2
633,17,350,207,793,1
628,21,351,192,808,2
623,24,353,208,792,7
619,27,354,220,780,4
618,26,356,195,805,5
618,19,363,426,574,5
618,15,367,434,566,4
618,10,372,200,800,1
618,5,377,193,807,0
617,2,381,6,994,0
614,4,382,2,998,0
611,7,382,2,998,0
610,8,382,4,996,1
609,9,382,198,802,3
608,10,382,230,770,3
608,9,383,225,775,1
608,6,386,195,805,1
608,3,389,197,803,1
608,2,390,191,809,0
608,1,391,4,996,0
608,0,392,4,996,0
