Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
995,5,0,2,998,0
986,14,0,3,997,0
978,22,0,1,999,2
965,35,0,218,782,3
950,50,0,229,771,9
930,68,2,290,710,8
914,81,5,342,658,13
901,85,14,547,453,15
896,82,22,654,346,20
891,74,35,489,511,16
887,63,50,553,447,13
881,49,70,561,439,5
874,40,86,465,535,5
866,35,99,453,547,4
857,39,104,234,766,6
847,44,109,282,718,7
835,52,113,262,738,8
828,53,119,335,665,9
813,61,126,287,713,10
798,68,134,152,848,12
790,67,143,442,558,7
784,63,153,281,719,15
783,52,165,643,357,15
783,45,172,641,359,8
781,32,187,344,656,6
781,17,202,300,700,1
780,10,210,206,794,0
775,9,216,5,995,2
769,14,217,218,782,0
762,21,217,2,998,1
759,22,219,200,800,5
757,24,219,441,559,6
753,27,220,277,723,7
751,24,225,254,746,3
749,20,231,237,763,2
745,17,238,213,787,4
744,15,241,212,788,2
741,16,243,220,780,2
738,15,247,223,777,4
734,17,249,213,787,1
732,17,251,196,804,3
731,14,255,237,763,3
731,13,256,233,767,4
731,10,259,222,778,2
731,7,262,220,780,1
730,4,266,199,801,0
728,4,268,2,998,0
722,9,269,1,999,0
716,15,269,1,999,1
711,20,269,195,805,2
705,26,269,229,771,6
700,30,270,280,720,6
693,35,272,288,712,5
692,30,278,451,549,6
688,28,284,282,718,5
688,23,289,454,546,7
686,19,295,254,746,1
684,16,300,210,790,4
683,10,307,223,777,0
677,15,308,5,995,2
675,13,312,222,778,2
673,15,312,215,785,1
671,15,314,197,803,6
668,16,316,284,716,2
663,20,317,233,767,2
659,18,323,214,786,2
658,17,325,223,777,3
656,17,327,243,757,5
655,16,329,433,567,4
655,13,332,211,789,1
655,8,337,197,803,2
655,4,341,221,779,1
655,3,342,188,812,0
655,1,344,5,995,0
655,0,345,1,999,0
655,0,345,1,999,0
