Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
994,6,0,5,995,0
989,11,0,6,994,0
980,20,0,6,994,2
973,27,0,225,775,4
966,34,0,214,786,5
960,38,2,468,532,9
948,46,6,287,713,7
937,52,11,241,759,7
919,61,20,245,755,6
902,71,27,278,722,12
896,70,34,464,536,11
886,74,40,348,652,18
878,70,52,473,527,17
875,62,63,576,424,6
868,51,81,302,698,10
856,46,98,169,831,8
850,46,104,297,703,3
842,44,114,257,743,7
836,42,122,243,757,12
831,44,125,463,537,6
827,41,132,280,720,8
823,33,144,301,699,6
819,31,150,278,722,5
816,26,158,468,532,4
811,25,164,226,774,4
807,24,169,214,786,4
800,27,173,210,790,3
795,28,177,242,758,5
792,27,181,465,535,4
790,26,184,219,781,7
788,23,189,240,760,5
788,19,193,466,534,3
786,14,200,239,761,2
786,9,205,237,763,2
784,8,208,229,771,0
781,9,210,7,993,2
780,8,212,225,775,0
776,12,212,8,992,2
774,12,214,233,767,3
770,16,214,229,771,1
768,16,216,215,785,4
766,15,219,217,783,2
766,14,220,231,769,4
765,11,224,224,776,2
765,9,226,223,777,2
765,5,230,224,776,0
764,4,232,10,990,1
764,2,234,216,784,0
764,2,234,7,993,0
764,1,235,7,993,1
764,1,235,207,793,0
764,1,235,6,994,0
764,0,236,7,993,0
