"term","estimate","std.error","statistic","p.value","model"
"SlightCough",8.19015420560495,0.595678800406201,13.7492793096212,5.14393759414306e-43,"FE1"
"FeverCough",30.7070568802354,0.591370938256315,51.9252044592801,0,"FE1"
"SlightCough",8.55633225079491,0.630123566357691,13.5788164538158,5.34836886095085e-42,"FE2"
"FeverCough",30.6663731068168,0.621552910795088,49.3383146860153,0,"FE2"
"poly(CF_z, 2)[, 1]",253.905043880137,8.19402655470002,30.986602518941,8.16863415300641e-211,"FE2"
"SlightCough",8.17417917549857,0.615015188684297,13.291020003889,2.60995887811871e-40,"FE3"
"FeverCough",30.5355558994391,0.607347332517859,50.2769243636074,0,"FE3"
"poly(CF_z, 2)[, 1]",264.407817378226,8.40914124908967,31.4429035672161,5.24827375281939e-217,"FE3"
"poly(CF_z, 2)[, 2]",-99.476096319569,6.45121193066038,-15.4197532787279,1.20564076826838e-53,"FE3"
"(Intercept)",0.898896744371251,0.175212591707053,5.13032046163763,2.89249326129713e-07,"RE4"
"SlightCough",7.89749813276463,0.315477898502735,25.0334434527627,2.64455774904517e-138,"RE4"
"FeverCough",20.4827994897858,113.572937590076,0.180349297327461,0.856878356428198,"RE4"
"poly(CF_z, 2)[, 1]",258.650210295165,3.90347109341802,66.2615923379829,0,"RE4"
"poly(CF_z, 2)[, 2]",-99.2513579500057,3.49026802872085,-28.4366006086875,7.13718326828392e-178,"RE4"
"agreeableness",-1.83217355479227,0.138221350216676,-13.2553585384613,4.20104333526535e-40,"RE4"
"conscientiousness",-0.404506196208584,0.137982231842705,-2.9315817754688,0.00337240565935889,"RE4"
"extraversion",-1.13872437111094,0.137876501446392,-8.25901701279884,1.46876996111163e-16,"RE4"
"emotional_stability",-1.36035317261897,0.138273914214556,-9.83810417421285,7.71509071025599e-23,"RE4"
"intellect",-2.64761933108566,0.139359226380853,-18.9985220199919,1.75414901073675e-80,"RE4"
"age_z",1.10310616908477,0.0700764010316664,15.7414786268247,7.85856732650352e-56,"RE4"
"gender",-0.451967216210264,0.13710746567176,-3.29644497471997,0.000979167934346468,"RE4"
