Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
993,7,0,2,998,0
990,10,0,1,999,0
985,15,0,1,999,2
980,20,0,212,788,5
978,22,0,430,570,3
974,24,2,248,752,5
972,21,7,449,551,5
968,22,10,444,556,2
964,21,15,223,777,4
959,21,20,205,795,2
952,26,22,214,786,4
947,27,26,201,799,4
937,35,28,203,797,5
934,34,32,441,559,7
926,38,36,234,766,5
918,41,41,440,560,10
901,51,48,157,843,3
884,63,53,257,743,8
871,66,63,321,679,8
861,73,66,337,663,17
854,72,74,526,474,17
847,71,82,536,464,13
842,59,99,531,469,10
831,53,116,169,831,7
824,47,129,255,745,7
812,49,139,239,761,5
807,47,146,454,546,11
799,48,153,310,690,7
791,51,158,254,746,12
788,43,169,429,571,5
786,38,176,446,554,8
779,33,188,320,680,8
776,31,193,308,692,3
769,30,201,240,760,2
761,30,209,224,776,7
756,32,212,244,756,3
750,36,214,240,760,7
744,35,221,234,766,8
738,38,224,317,683,5
737,32,231,452,548,6
733,28,239,280,720,6
732,24,244,273,727,6
730,20,250,273,727,1
728,16,256,214,786,4
727,11,262,189,811,1
726,11,263,207,793,2
725,8,267,217,783,2
725,7,268,208,792,1
725,5,270,203,797,1
725,3,272,200,800,1
725,2,273,208,792,0
723,3,274,2,998,0
723,2,275,1,999,0
721,4,275,2,998,0
718,7,275,2,998,2
717,8,275,203,797,0
710,15,275,3,997,2
706,17,277,212,788,3
701,22,277,240,760,1
697,24,279,213,787,7
692,26,282,222,778,4
688,29,283,202,798,5
684,26,290,445,555,4
681,25,294,198,802,5
679,22,299,448,552,4
677,20,303,210,790,4
674,18,308,200,800,3
674,14,312,251,749,2
672,12,316,219,781,2
672,9,319,210,790,3
671,8,321,229,771,0
669,8,323,6,994,2
668,6,326,214,786,0
668,6,326,3,997,1
666,6,328,214,786,2
665,7,328,206,794,1
663,8,329,212,788,0
659,10,331,3,997,2
659,9,332,206,794,1
657,11,332,202,798,2
656,10,334,216,784,4
655,10,335,198,802,0
654,9,337,6,994,2
653,6,341,215,785,1
652,7,341,4,996,1
652,5,343,204,796,1
652,4,344,207,793,1
652,3,345,209,791,1
652,2,346,205,795,0
651,2,347,3,997,0
651,1,348,2,998,0
651,1,348,2,998,0
651,1,348,3,997,1
651,1,348,210,790,0
651,1,348,3,997,0
651,0,349,2,998,0
