Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
998,2,0,3,997,0
996,4,0,3,997,0
994,6,0,3,997,2
991,9,0,207,793,0
983,17,0,5,995,2
979,19,2,198,802,2
969,29,2,206,794,3
957,39,4,218,782,8
943,51,6,298,702,4
923,68,9,213,787,10
894,89,17,171,829,12
876,103,21,420,580,14
867,102,31,527,473,20
858,99,43,446,554,29
855,88,57,608,392,18
852,71,77,455,545,9
850,44,106,313,687,9
846,30,124,299,701,3
845,22,133,228,772,3
840,18,142,217,783,2
835,20,145,203,797,4
830,22,148,200,800,1
825,25,150,205,795,5
823,23,154,449,551,5
819,26,155,450,550,5
818,22,160,454,546,5
816,19,165,452,548,2
815,15,170,208,792,4
814,11,175,195,805,1
812,11,177,203,797,2
811,8,181,206,794,1
807,11,182,206,794,1
805,11,184,206,794,2
803,12,185,205,795,1
802,12,186,202,798,4
800,12,188,186,814,2
798,13,189,220,780,2
795,12,193,207,793,1
791,14,195,195,805,2
789,14,197,209,791,2
786,16,198,207,793,3
784,16,200,217,783,4
780,18,202,204,796,2
778,17,205,207,793,3
776,15,209,218,782,2
775,14,211,210,790,4
774,12,214,190,810,2
772,12,216,212,788,2
767,13,220,206,794,1
765,13,222,208,792,1
760,16,224,198,802,2
755,20,225,209,791,5
751,23,226,455,545,2
747,25,228,215,785,5
745,22,233,448,552,5
741,24,235,459,541,4
738,22,240,198,802,4
737,18,245,202,798,2
735,16,249,211,789,4
733,14,253,200,800,3
729,16,255,214,786,1
725,16,259,204,796,2
722,16,262,207,793,2
720,17,263,213,787,4
715,20,265,198,802,4
711,22,267,196,804,3
706,23,271,225,775,2
701,24,275,218,782,5
699,23,278,458,542,4
699,21,280,197,803,5
698,17,285,451,549,5
697,14,289,449,551,2
693,13,294,211,789,0
691,10,299,3,997,1
689,10,301,190,810,1
688,11,301,209,791,4
685,13,302,197,803,2
682,15,303,210,790,2
681,12,307,204,796,1
679,12,309,214,786,3
679,10,311,211,789,3
679,9,312,214,786,1
679,6,315,213,787,2
678,4,318,203,797,0
677,4,319,4,996,0
674,5,321,4,996,0
672,7,321,4,996,1
669,10,321,200,800,1
667,12,321,197,803,3
667,11,322,214,786,2
667,10,323,201,799,3
667,7,326,213,787,2
667,5,328,204,796,0
666,3,331,4,996,0
663,4,333,2,998,0
661,6,333,1,999,0
658,9,333,1,999,1
658,9,333,203,797,3
658,9,333,212,788,2
658,8,334,203,797,3
658,5,337,214,786,0
656,5,339,4,996,0
655,3,342,5,995,0
654,4,342,2,998,0
653,5,342,4,996,2
652,6,342,204,796,1
651,7,342,200,800,1
650,6,344,200,800,1
646,9,345,198,802,1
643,11,346,197,803,1
641,12,347,194,806,1
637,15,348,197,803,4
632,19,349,197,803,3
630,20,350,222,778,2
626,20,354,216,784,4
624,19,357,203,797,5
623,18,359,452,548,2
623,14,363,207,793,4
623,9,368,196,804,2
623,7,370,204,796,1
623,3,374,206,794,0
623,1,376,5,995,0
623,0,377,2,998,0
