"term","estimate","std.error","statistic","p.value","model"
"SlightCough",8.19015420560495,0.595678800406201,13.7492793096212,5.14393759414306e-43,"FE1"
"FeverCough",30.7070568802354,0.591370938256315,51.9252044592801,0,"FE1"
"SlightCough",8.55633225079506,0.630123566357701,13.5788164538158,5.34836886095098e-42,"FE2"
"FeverCough",30.6663731068157,0.621552910795096,49.3383146860128,0,"FE2"
"CF_z",1.09264345763358,0.035261802482723,30.9866025189421,8.16863415273365e-211,"FE2"
"SlightCough",8.17417917549862,0.615015188684106,13.2910200038932,2.60995887797173e-40,"FE3"
"FeverCough",30.5355558994376,0.607347332517667,50.2769243636209,0,"FE3"
"CF_z",1.53454907477517,0.0519131511692895,29.5599292320164,4.89530956374712e-192,"FE3"
"CF2_z",-0.300157895079549,0.0194658040017757,-15.4197532787327,1.20564076817921e-53,"FE3"
"(Intercept)",1.19833992103232,0.174512362874233,6.86679099002251,6.56621628149797e-12,"RE4"
"SlightCough",7.89730823022117,0.292897716683071,26.962682808369,4.05060713170971e-160,"RE4"
"FeverCough",22.0496279818917,17.7505696919353,1.24219269378772,0.214165474704707,"RE4"
"CF_z",1.50888534159355,0.0242504838350295,62.2208345144017,0,"RE4"
"CF2_z",-0.299484514057741,0.0105619813635217,-28.354955737006,7.27156059883041e-177,"RE4"
"agreeableness",-1.83215942222223,0.137866134985896,-13.2894087616924,2.66677031318226e-40,"RE4"
"conscientiousness",-0.404518705556377,0.137338852813968,-2.9454061779904,0.00322530948433234,"RE4"
"extraversion",-1.13874628449243,0.137467594362922,-8.28374345073703,1.19362599788894e-16,"RE4"
"emotional_stability",-1.36033004990024,0.138121092784341,-9.84882194658146,6.93520643980023e-23,"RE4"
"intellect",-2.64761788093577,0.140402101172151,-18.8573950021549,2.55502007056795e-79,"RE4"
"age_z",1.10310756488538,0.0699778621102145,15.7636648451476,5.53292733394118e-56,"RE4"
"gender",-0.451915463659746,0.136614666689945,-3.30795715137522,0.000939791874895314,"RE4"
