"term","estimate","std.error","statistic","p.value","model"
"SlightCough",8.19015420560495,0.595678800406201,13.7492793096212,5.14393759414306e-43,"FE1"
"FeverCough",30.7070568802354,0.591370938256315,51.9252044592801,0,"FE1"
"SlightCough",8.55633225079497,0.630123566357676,13.5788164538162,5.34836886092076e-42,"FE2"
"FeverCough",30.6663731068169,0.621552910795072,49.3383146860167,0,"FE2"
"CF_c",0.264342106577649,0.00853085156451315,30.9866025189403,8.16863415317924e-211,"FE2"
"SlightCough",8.17417917549855,0.615015188684309,13.2910200038887,2.60995887812899e-40,"FE3"
"FeverCough",30.5355558994364,0.607347332517871,50.2769243636019,0,"FE3"
"CF_c",0.371251877489377,0.0125592952058703,29.5599292320042,4.89530956552277e-192,"FE3"
"CF2",-0.0175681295368499,0.00113932624078244,-15.4197532787314,1.20564076820229e-53,"FE3"
"(Intercept)",1.19781243885609,0.174258144107545,6.87378168171494,6.25218701882424e-12,"RE4"
"SlightCough",7.85915338231376,0.290380328052356,27.0650337611601,2.54156292255459e-161,"RE4"
"FeverCough",16.5744146854602,3.62344273690099,4.57421736423954,4.78003391542464e-06,"RE4"
"CF_c",0.36532277671573,0.00586862197526811,62.2501804095228,0,"RE4"
"CF2",-0.0175799295499527,0.000618294881694408,-28.432921038867,7.92541727878875e-178,"RE4"
"agreeableness",-1.8569709027476,0.137983596007752,-13.4579106247041,2.76628166009117e-41,"RE4"
"conscientiousness",-0.399684077764383,0.137264573511687,-2.91177881910187,0.00359377010527383,"RE4"
"extraversion",-1.12195458457159,0.137318626597697,-8.17044717362769,3.07248461393447e-16,"RE4"
"emotional_stability",-1.3913015453817,0.138282354746413,-10.0613093256412,8.19017481232043e-24,"RE4"
"intellect",-2.64112585089965,0.140201856921174,-18.8380233250733,3.6847176750776e-79,"RE4"
"age_c",0.0795932333181825,0.00507310431310733,15.6892562040442,1.79142326231771e-55,"RE4"
"gender",-0.430313421134013,0.136489266575045,-3.15272718457621,0.00161752900501731,"RE4"
