Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
998,2,0,2,998,0
995,5,0,1,999,0
987,13,0,1,999,2
980,20,0,209,791,0
961,39,0,5,995,3
946,52,2,234,766,8
931,67,2,313,687,7
911,84,5,255,745,19
897,90,13,516,484,15
891,89,20,655,345,15
888,73,39,665,335,20
886,60,54,496,504,14
882,49,69,560,440,6
880,31,89,301,699,3
877,20,103,256,744,2
871,20,109,216,784,4
864,24,112,196,804,2
855,31,114,220,780,3
846,36,118,242,758,6
837,43,120,278,722,7
831,46,123,249,751,9
821,50,129,291,709,9
814,50,136,298,702,9
803,52,145,298,702,6
796,50,154,298,702,10
784,53,163,155,845,7
772,59,169,249,751,11
763,58,179,335,665,7
746,68,186,252,748,12
736,67,197,466,534,12
728,68,204,460,540,9
721,63,216,316,684,17
716,56,228,573,427,10
707,56,237,169,831,8
702,44,254,338,662,7
698,38,264,251,749,5
698,30,272,482,518,9
697,24,279,287,713,5
697,19,284,479,521,4
695,12,293,214,786,0
691,11,298,7,993,1
688,10,302,205,795,0
683,15,302,4,996,2
681,16,303,215,785,4
675,22,303,207,793,3
673,22,305,237,763,5
672,19,309,456,544,2
672,16,312,224,776,6
671,12,317,279,721,2
670,11,319,216,784,1
670,5,325,219,781,0
668,5,327,4,996,1
666,6,328,204,796,1
664,8,328,208,792,0
659,12,329,1,999,2
655,15,330,210,790,2
650,20,330,205,795,2
642,26,332,216,784,5
637,29,334,461,539,4
632,32,336,212,788,5
631,28,341,472,528,8
629,26,345,319,681,5
629,21,350,481,519,5
628,14,358,469,531,1
627,10,363,215,785,2
627,5,368,217,783,0
626,5,369,3,997,1
625,4,371,202,798,1
624,5,371,210,790,0
623,5,372,2,998,1
623,4,373,197,803,1
623,4,373,203,797,1
623,3,374,193,807,1
623,2,375,204,796,0
623,1,376,4,996,0
623,0,377,2,998,0
