Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
995,5,0,1,999,0
988,12,0,2,998,0
977,23,0,1,999,2
969,31,0,216,784,3
956,44,0,238,762,7
942,56,2,231,769,11
928,67,5,328,672,8
921,67,12,309,691,13
913,64,23,540,460,14
908,61,31,542,458,14
902,54,44,540,460,7
898,44,58,259,741,8
893,35,72,323,677,5
891,30,79,482,518,6
888,25,87,275,725,4
883,25,92,226,774,5
881,21,98,470,530,2
878,20,102,218,782,3
871,22,107,235,765,5
870,21,109,467,533,2
866,22,112,216,784,3
862,21,117,233,767,7
859,22,119,221,779,1
856,22,122,206,794,4
856,15,129,225,775,4
854,16,130,218,782,3
853,13,134,228,772,3
853,9,138,229,771,0
848,11,141,4,996,2
843,13,144,208,792,1
837,19,144,192,808,0
821,33,146,5,995,5
817,36,147,457,543,5
809,44,147,464,536,6
798,50,152,275,725,16
794,49,157,525,475,4
789,48,163,229,771,8
782,39,179,334,666,11
778,39,183,327,673,4
768,41,191,224,776,5
765,33,202,479,521,7
759,35,206,222,778,4
751,38,211,229,771,10
743,39,218,133,867,3
735,43,222,243,757,6
726,42,232,287,713,8
716,49,235,317,683,8
705,54,241,316,684,8
695,56,249,322,678,9
687,56,257,303,697,10
673,62,265,148,852,11
663,63,274,339,661,10
648,68,284,141,859,8
640,65,295,323,677,14
633,62,305,538,462,10
626,61,313,157,843,15
625,48,327,640,360,8
621,42,337,320,680,7
621,27,352,234,766,7
621,19,360,240,760,1
621,12,367,209,791,4
621,5,374,208,792,0
621,4,375,6,994,0
619,2,379,2,998,0
619,2,379,2,998,0
618,3,379,1,999,0
616,5,379,3,997,2
615,6,379,217,783,0
610,11,379,4,996,1
608,11,381,206,794,2
608,11,381,212,788,1
606,12,382,192,808,5
606,10,384,463,537,2
604,11,385,218,782,0
596,14,390,5,995,2
593,15,392,212,788,0
579,29,392,2,998,2
573,33,394,224,776,8
572,34,394,291,709,3
568,36,396,239,761,14
567,29,404,534,466,6
566,27,407,271,729,1
566,13,421,213,787,4
565,8,427,209,791,1
564,8,428,199,801,1
564,4,432,201,799,0
562,5,433,3,997,1
561,5,434,193,807,1
561,5,434,193,807,0
553,12,435,4,996,2
552,12,436,208,792,1
550,14,436,191,809,0
543,19,438,4,996,8
539,22,439,305,695,1
537,24,439,186,814,2
536,17,447,215,785,7
532,20,448,226,774,4
531,19,450,204,796,2
529,14,457,217,783,1
528,11,461,198,802,4
528,9,463,213,787,1
528,8,464,199,801,2
528,4,468,214,786,1
528,3,469,195,805,0
526,3,471,3,997,0
525,3,472,1,999,0
524,4,472,0,1000,0
523,5,472,2,998,2
522,6,472,211,789,1
522,6,472,189,811,1
522,4,474,193,807,1
522,3,475,201,799,1
522,2,476,197,803,0
522,1,477,3,997,0
522,0,478,1,999,0
