Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
997,3,0,5,995,0
995,5,0,3,997,0
990,10,0,3,997,2
986,14,0,225,775,1
984,16,0,197,803,2
979,19,2,228,772,5
977,20,3,450,550,4
970,25,5,233,767,2
964,26,10,234,766,5
957,29,14,449,551,2
953,31,16,241,759,7
946,33,21,237,763,6
943,34,23,288,712,7
937,33,30,243,757,4
932,32,36,245,755,7
929,28,43,249,751,3
925,28,47,265,735,6
919,27,54,277,723,5
914,29,57,446,554,3
906,31,63,259,741,4
896,36,68,227,773,6
886,43,71,280,720,5
879,46,75,460,540,8
872,47,81,319,681,10
860,54,86,164,836,10
842,64,94,169,831,7
826,70,104,255,745,7
807,79,114,258,742,12
794,85,121,460,540,18
784,88,128,454,546,16
778,82,140,548,452,19
771,71,158,528,472,13
766,60,174,570,430,10
759,48,193,183,817,6
752,42,206,301,699,7
743,41,216,249,751,5
740,38,222,453,547,7
732,39,229,245,755,7
729,37,234,245,755,9
724,35,241,306,694,3
719,33,248,272,728,8
716,27,257,308,692,3
713,27,260,261,739,5
711,21,268,456,544,5
710,19,271,464,536,3
708,16,276,258,742,3
705,14,281,267,733,2
704,12,284,228,772,1
701,12,287,193,807,2
701,10,289,235,765,3
701,9,290,256,744,1
700,8,292,197,803,3
700,5,295,253,747,0
700,4,296,7,993,0
697,4,299,4,996,1
696,5,299,187,813,0
693,8,299,3,997,0
691,9,300,3,997,3
689,11,300,247,753,1
688,12,300,196,804,3
686,11,303,251,749,2
685,11,304,226,774,2
684,9,307,231,769,1
682,9,309,194,806,2
680,9,311,226,774,1
677,11,312,184,816,1
676,10,314,200,800,2
676,9,315,218,782,2
673,11,316,228,772,3
671,11,318,259,741,1
669,11,320,200,800,0
661,16,323,7,993,3
661,15,324,259,741,2
659,17,324,229,771,2
658,15,327,226,774,8
658,13,329,303,697,0
657,12,331,14,986,2
657,4,339,231,769,1
657,4,339,181,819,0
655,4,341,5,995,1
654,4,342,192,808,0
654,4,342,4,996,0
653,4,343,3,997,2
653,4,343,218,782,1
653,4,343,188,812,0
653,2,345,4,996,1
653,1,346,2,998,0
653,1,346,1,999,0
653,0,347,1,999,0
