Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
996,4,0,3,997,0
991,9,0,2,998,0
985,15,0,4,996,2
977,23,0,213,787,2
967,33,0,206,794,5
957,41,2,467,533,6
948,48,4,252,748,8
933,58,9,315,685,10
916,69,15,159,841,10
882,95,23,153,847,9
855,112,33,314,686,15
848,109,43,634,366,17
840,108,52,554,446,34
839,94,67,803,197,27
835,81,84,721,279,7
833,49,118,278,722,8
831,24,145,330,670,1
826,22,152,230,770,4
817,23,160,221,779,2
806,33,161,223,777,2
796,39,165,219,781,5
791,42,167,463,537,9
782,49,169,300,700,11
778,48,174,308,692,10
765,52,183,145,855,5
761,45,194,486,514,9
753,43,204,297,703,4
750,41,209,229,771,13
750,32,218,523,477,4
746,32,222,220,780,8
745,20,235,321,679,3
744,17,239,237,763,0
734,19,247,5,995,4
730,20,250,208,792,1
722,28,250,209,791,1
715,31,254,222,778,10
706,39,255,136,864,4
693,51,256,217,783,8
689,45,266,319,681,7
677,53,270,239,761,9
670,52,278,303,697,13
666,49,285,525,475,4
662,44,294,233,767,12
660,33,307,422,578,7
659,30,311,230,770,4
656,21,323,226,774,4
656,14,330,220,780,2
656,10,334,223,777,1
656,6,338,205,795,3
656,4,340,227,773,0
656,3,341,5,995,0
652,4,344,4,996,0
650,6,344,3,997,0
646,10,344,4,996,0
641,15,344,5,995,4
635,21,344,207,793,2
632,24,344,222,778,4
628,24,348,222,778,5
628,22,350,468,532,6
626,20,354,251,749,3
626,15,359,241,759,4
626,9,365,214,786,0
621,11,368,8,992,2
619,9,372,211,789,0
617,11,372,5,995,0
610,16,374,5,995,5
609,17,374,455,545,2
608,18,374,224,776,2
607,14,379,224,776,7
607,12,381,222,778,1
605,12,383,221,779,1
605,5,390,208,792,1
603,6,391,204,796,0
599,9,392,3,997,2
597,10,393,210,790,0
593,14,393,5,995,2
590,15,395,213,787,4
589,16,395,214,786,2
587,16,397,217,783,4
587,12,401,215,785,3
587,10,403,239,761,1
587,6,407,204,796,2
587,3,410,212,788,0
587,2,411,4,996,0
587,0,413,5,995,0
